city,state_id,lookup,state_name
New York,NY,"New York,New York",New York
Los Angeles,CA,"Los Angeles,California",California
Chicago,IL,"Chicago,Illinois",Illinois
Miami,FL,"Miami,Florida",Florida
Dallas,TX,"Dallas,Texas",Texas
Philadelphia,PA,"Philadelphia,Pennsylvania",Pennsylvania
Houston,TX,"Houston,Texas",Texas
Atlanta,GA,"Atlanta,Georgia",Georgia
Washington,DC,"Washington,District of Columbia",District of Columbia
Boston,MA,"Boston,Massachusetts",Massachusetts
Phoenix,AZ,"Phoenix,Arizona",Arizona
Seattle,WA,"Seattle,Washington",Washington
San Francisco,CA,"San Francisco,California",California
Detroit,MI,"Detroit,Michigan",Michigan
San Diego,CA,"San Diego,California",California
Minneapolis,MN,"Minneapolis,Minnesota",Minnesota
Tampa,FL,"Tampa,Florida",Florida
Denver,CO,"Denver,Colorado",Colorado
Brooklyn,NY,"Brooklyn,New York",New York
Queens,NY,"Queens,New York",New York
Riverside,CA,"Riverside,California",California
Baltimore,MD,"Baltimore,Maryland",Maryland
Las Vegas,NV,"Las Vegas,Nevada",Nevada
Portland,OR,"Portland,Oregon",Oregon
San Antonio,TX,"San Antonio,Texas",Texas
St. Louis,MO,"St. Louis,Missouri",Missouri
Sacramento,CA,"Sacramento,California",California
Orlando,FL,"Orlando,Florida",Florida
San Jose,CA,"San Jose,California",California
Cleveland,OH,"Cleveland,Ohio",Ohio
Pittsburgh,PA,"Pittsburgh,Pennsylvania",Pennsylvania
Austin,TX,"Austin,Texas",Texas
Cincinnati,OH,"Cincinnati,Ohio",Ohio
Kansas City,MO,"Kansas City,Missouri",Missouri
Manhattan,NY,"Manhattan,New York",New York
Indianapolis,IN,"Indianapolis,Indiana",Indiana
Columbus,OH,"Columbus,Ohio",Ohio
Charlotte,NC,"Charlotte,North Carolina",North Carolina
Virginia Beach,VA,"Virginia Beach,Virginia",Virginia
Bronx,NY,"Bronx,New York",New York
Milwaukee,WI,"Milwaukee,Wisconsin",Wisconsin
Providence,RI,"Providence,Rhode Island",Rhode Island
Jacksonville,FL,"Jacksonville,Florida",Florida
Salt Lake City,UT,"Salt Lake City,Utah",Utah
Nashville,TN,"Nashville,Tennessee",Tennessee
Richmond,VA,"Richmond,Virginia",Virginia
Memphis,TN,"Memphis,Tennessee",Tennessee
Raleigh,NC,"Raleigh,North Carolina",North Carolina
New Orleans,LA,"New Orleans,Louisiana",Louisiana
Louisville,KY,"Louisville,Kentucky",Kentucky
Oklahoma City,OK,"Oklahoma City,Oklahoma",Oklahoma
Bridgeport,CT,"Bridgeport,Connecticut",Connecticut
